county,zip code,city
Platte,64152,Parkville
New Madrid,63870,Parma
Nodaway,64475,Parnell
Saint Louis,63121,Pasadena Hills
Saint Louis,63121,Pasadena Park
Pemiscot,63871,Pascola
Bates,64777,Passaic
Wayne,63956,Patterson
Bollinger,63662,Patton
Daviess,64670,Pattonsburg
Maries,65013,Paydown
Pike,63336,Paynesville
Franklin,63080,Pea Ridge
Howell,65788,Peace Valley
New Madrid,63848,Peach Orchard
Clark,63465,Peaksville
Cass,64078,Peculiar
Warren,63383,Pendleton
Sullivan,63545,Pennville
Scott,63774,Perkins
Ralls,63462,Perry
Cape Girardeau,63747,Perryville
Perry,63775,Perryville
Perry,63776,Perryville
Perry,63783,Perryville
Gasconade,65061,Pershing
Howard,65250,Petersburg
Jefferson,63070,Pevely
Marion,63463,Philadelphia
Laclede,65722,Phillipsburg
Nodaway,64476,Pickering
Wayne,63957,Piedmont
Lawrence,65723,Pierce City
Boone,65201,Pierpont
Cooper,65276,Pilot Grove
Iron,63663,Pilot Knob
Saint Louis City,63120,Pine Lawn
McDonald,64856,Pineville
Cooper,65237,Pisgah
Hickory,65724,Pittsburg
Macon,63530,Plainview
Texas,65552,Plato
Platte,64079,Platte City
Platte,64151,Platte Woods
Clinton,64477,Plattsburg
Cass,64080,Pleasant Hill
Greene,65725,Pleasant Hope
Clay,64068,Pleasant Valley
Knox,63464,Plevna
Cape Girardeau,63779,Pocahontas
Taney,65726,Point Lookout
New Madrid,63873,Point Pleasant
Polk,65727,Polk
Sullivan,63560,Pollock
Caldwell,64671,Polo
Howell,65789,Pomona
Stone,65728,Ponce de Leon
Saint Louis,63038,Pond
Saint Louis,63040,Pond
Ozark,65729,Pontiac
Butler,63901,Poplar Bluff
Butler,63902,Poplar Bluff
Saint Charles,63373,Portage des Sioux
New Madrid,63873,Portageville
Callaway,65067,Portland
Washington,63664,Potosi
Howell,65790,Pottersville
McDonald,65730,Powell
Taney,65731,Powersite
Putnam,64672,Powersville
Ripley,63935,Poynor
Bates,64780,Prairie City
Chariton,65281,Prairie Hill
Cooper,65068,Prairie Home
Pike,63344,Prairieville
Boone,65202,Prathersville
Hickory,65732,Preston
Montgomery,63363,Prices Branch
Mercer,64673,Princeton
Jasper,64801,Prosperity
Taney,65733,Protem
Jasper,64857,Purcell
Linn,64674,Purdin
Barry,65734,Purdy
Adair,63559,Pure Air
Stoddard,63960,Puxico
Schuyler,63561,Queen City
Hickory,65735,Quincy
Nodaway,64478,Quitman
Butler,63938,Qulin
Butler,63961,Qulin
Newton,64858,Racine
Benton,65355,Racket
Scott,63740,Randles
Clay,64117,Randolph
Clay,64161,Randolph
Nodaway,64479,Ravenwood
Texas,65555,Raymondville
Cass,64083,Raymore
Jackson,64129,Raytown
Jackson,64133,Raytown
Jackson,64138,Raytown
Ray,64084,Rayville
Andrew,64480,Rea
Callaway,65067,Readsville
Gasconade,65014,Red Bird
Reynolds,63665,Redford
Jasper,64801,Redings Mill
Jasper,64859,Reeds
Stone,65737,Reeds Spring
Callaway,65077,Reform
Sullivan,63556,Reger
Randolph,65278,Renick
Marion,63401,Rensselaer
Greene,65738,Republic
Clark,63465,Revere
Reynolds,63666,Reynolds
Montgomery,65069,Rhineland
Osage,65035,Rich Fountain
Bates,64779,Rich Hill
Vernon,64778,Richards
Pulaski,65556,Richland
Ray,64085,Richmond
Saint Louis,63117,Richmond Heights
Washington,63071,Richwoods
Taney,65739,Ridgedale
Harrison,64481,Ridgeway
Boone,65284,Riggs
New Madrid,63874,Risco
Saint Francois,63601,Rivermines
Platte,64150,Riverside
Platte,64151,Riverside
Platte,64168,Riverside
Audrain,65265,Riversville
Oregon,65606,Riverton
Saint Louis,63137,Riverview
Dunklin,63875,Rives
Camden,65787,Roach
Howard,65230,Roanoke
Saint Louis,63042,Robertson
Franklin,63072,Robertsville
Texas,65557,Roby
Boone,65279,Rocheport
Saint Louis,63119,Rock Hill
Atchison,64482,Rock Port
Taney,65740,Rockaway Beach
Ozark,65741,Rockbridge
Scott,63740,Rockview
Bates,64780,Rockville
McDonald,64861,Rocky Comfort
Morgan,65072,Rocky Mount
Sainte Genevieve,63670,Rocky Ridge
Webster,65742,Rogersville
Phelps,65401,Rolla
Phelps,65402,Rolla
Phelps,65409,Rolla
Butler,63962,Rombauer
Phelps,65559,Rosati
Saint Clair,64781,Roscoe
Gasconade,63091,Rosebud
Iron,63650,Rosel
Andrew,64483,Rosendale
Chariton,64676,Rothville
Shannon,65466,Round Spring
Boone,65240,Rowena
Randolph,65243,Rucker
Taney,65744,Rueter
Audrain,65280,Rush Hill
Buchanan,64484,Rushville
Cole,65074,Russellville
Scotland,63563,Rutledge
Phelps,65559,Safe
Newton,64864,Saginaw
Benton,65326,Sagrada
Franklin,63073,Saint Albans
Saint Louis,63074,Saint Ann
Saint Louis,63074,Saint Anne
Linn,64628,Saint Catharine
Saint Charles,63301,Saint Charles
Saint Charles,63302,Saint Charles
Saint Charles,63303,Saint Charles
Saint Charles,63304,Saint Charles
Franklin,63077,Saint Clair
Pike,63334,Saint Clement
Miller,65075,Saint Elizabeth
Clark,63430,Saint Francisville
Phelps,65559,Saint James
Saint Louis,63114,Saint John
Buchanan,64501,Saint Joseph
Buchanan,64502,Saint Joseph
Buchanan,64503,Saint Joseph
Buchanan,64504,Saint Joseph
Buchanan,64505,Saint Joseph
Buchanan,64506,Saint Joseph
Buchanan,64507,Saint Joseph
Buchanan,64508,Saint Joseph
Saint Louis City,63101,Saint Louis
Saint Louis City,63102,Saint Louis
Saint Louis City,63103,Saint Louis
Saint Louis City,63104,Saint Louis
Saint Louis,63105,Saint Louis
Saint Louis City,63106,Saint Louis
Saint Louis City,63107,Saint Louis
Saint Louis City,63108,Saint Louis
Saint Louis City,63109,Saint Louis
Saint Louis City,63110,Saint Louis
Saint Louis City,63111,Saint Louis
Saint Louis City,63112,Saint Louis
Saint Louis City,63113,Saint Louis
Saint Louis,63114,Saint Louis
Saint Louis City,63115,Saint Louis
Saint Louis City,63116,Saint Louis
Saint Louis,63117,Saint Louis
Saint Louis City,63118,Saint Louis
Saint Louis,63119,Saint Louis
Saint Louis City,63120,Saint Louis
Saint Louis,63121,Saint Louis
Saint Louis,63122,Saint Louis
Saint Louis,63123,Saint Louis
Saint Louis,63124,Saint Louis
Saint Louis,63125,Saint Louis
Saint Louis,63126,Saint Louis
Saint Louis,63127,Saint Louis
Saint Louis,63128,Saint Louis
Saint Louis,63129,Saint Louis
Saint Louis,63130,Saint Louis
Saint Louis,63131,Saint Louis
Saint Louis,63132,Saint Louis
Saint Louis,63133,Saint Louis
Saint Louis,63134,Saint Louis
Saint Louis,63135,Saint Louis
Saint Louis,63136,Saint Louis
Saint Louis,63137,Saint Louis
Saint Louis,63138,Saint Louis
Saint Louis City,63139,Saint Louis
Saint Louis,63140,Saint Louis
Saint Louis,63141,Saint Louis
Saint Louis,63143,Saint Louis
Saint Louis,63144,Saint Louis
Saint Louis,63145,Saint Louis
Saint Louis,63146,Saint Louis
Saint Louis City,63147,Saint Louis
Saint Louis City,63150,Saint Louis
Saint Louis,63151,Saint Louis
Saint Louis City,63155,Saint Louis
Saint Louis City,63156,Saint Louis
Saint Louis City,63157,Saint Louis
Saint Louis City,63158,Saint Louis
Saint Louis City,63160,Saint Louis
Saint Louis City,63163,Saint Louis
Saint Louis City,63164,Saint Louis
Saint Louis City,63166,Saint Louis
Saint Louis,63167,Saint Louis
Saint Louis City,63169,Saint Louis
Saint Louis City,63171,Saint Louis
Saint Louis City,63177,Saint Louis
Saint Louis City,63178,Saint Louis
Saint Louis City,63179,Saint Louis
Saint Louis City,63180,Saint Louis
Saint Louis City,63182,Saint Louis
Saint Louis City,63188,Saint Louis
Saint Louis City,63195,Saint Louis
Saint Louis City,63196,Saint Louis
Saint Louis City,63197,Saint Louis
Saint Louis,63198,Saint Louis
Saint Louis City,63199,Saint Louis
Cole,65109,Saint Martins
Sainte Genevieve,63673,Saint Mary
Clark,63466,Saint Patrick
Saint Charles,63366,Saint Paul
Saint Charles,63303,Saint Peters
Saint Charles,63304,Saint Peters
Saint Charles,63376,Saint Peters
Pulaski,65584,Saint Robert
Cole,65076,Saint Thomas
Sainte Genevieve,63670,Sainte Genevieve
Dent,65560,Salem
Saline,65349,Saline City
Chariton,65281,Salisbury
Saline,65351,Salt Pond
Ralls,63462,Salt River
Scotland,63563,Sand Hill
Moniteau,65046,Sandy Hook
Monroe,65282,Santa Fe
Boone,65203,Sapp
Saint Louis,63126,Sappington
Saint Louis,63127,Sappington
Saint Louis,63128,Sappington
Jasper,64862,Sarcoxie
Andrew,64485,Savannah
Ralls,63467,Saverton
Vernon,64783,Schell City
Saint Charles,63332,Schluersburg
Cole,65101,Schubert
Bollinger,63764,Scopus
Jasper,64836,Scotland
Scott,63780,Scott City
Pettis,65301,Sedalia
Pettis,65302,Sedalia
Bollinger,63781,Sedgewickville
Barry,65745,Seligman
Dunklin,63876,Senath
Newton,64865,Seneca
Perry,63775,Sereno
Webster,65746,Seymour
Dent,65560,Shannondale
Saline,65349,Sharon
Boone,65202,Shaw
Shelby,63468,Shelbina
Shelby,63469,Shelbyville
Vernon,64784,Sheldon
Barry,65747,Shell Knob
Worth,64486,Sheridan
Saint Louis,63021,Sherman
Adair,63559,Shibleys Point
Wayne,63963,Shook
Saint Louis,63119,Shrewsbury
Jackson,64088,Sibley
Sullivan,63544,Sidney
Scott,63801,Sikeston
Lincoln,63377,Silex
Wayne,63934,Silva
Wayne,63964,Silva
Taney,65616,Silver Dollar City
Perry,63775,Silver Lake
Texas,65483,Simmons
Nodaway,64487,Skidmore
Polk,65613,Slagle
Saline,65349,Slater
Dent,65560,Sligo
Jasper,64834,Smithfield
Pettis,65350,Smithton
Clay,64089,Smithville
Chariton,65286,Snyder
Texas,65564,Solo
Sullivan,63556,Sorrell
Ozark,65773,Souder
Howell,65776,South Fork
Macon,63549,South Gifford
Dade,65752,South Greenfield
Marion,63461,South River
Saint Charles,63301,South Shore
Carter,63965,South Van Buren
McDonald,64863,South West City
Marion,63401,Spalding
Saint Louis,63138,Spanish Lake
Christian,65753,Sparta
Cooper,65233,Speed
Adair,63501,Sperry
Grundy,64679,Spickard
Christian,65754,Spokane
Franklin,63080,Spring Bluff
Cole,65032,Spring Garden
Adair,63501,Spring Lake
Christian,65721,Springfield
Webster,65742,Springfield
Greene,65801,Springfield
Greene,65802,Springfield
Greene,65803,Springfield
Greene,65804,Springfield
Greene,65805,Springfield
Greene,65806,Springfield
Greene,65807,Springfield
Greene,65808,Springfield
Greene,65809,Springfield
Greene,65810,Springfield
Greene,65814,Springfield
Greene,65817,Springfield
Greene,65890,Springfield
Greene,65898,Springfield
Greene,65899,Springfield
Pettis,65301,Springfork
Washington,63660,Springtown
Douglas,65755,Squires
Adair,63559,Stahl
Gentry,64489,Stanberry
Franklin,63079,Stanton
Newton,64866,Stark City
Montgomery,65069,Starkenburg
Callaway,65077,Steedman
Pemiscot,63877,Steele
Crawford,65565,Steelville
Iron,65566,Steelville
Lewis,63447,Steffenville
Newton,64867,Stella
Boone,65202,Stephens
Carroll,64680,Stet
Dekalb,64490,Stewartsville
Cedar,65785,Stockton
Jasper,64801,Stones Corner
Washington,63660,Stoney Point
Franklin,63068,Stony Hill
Bates,64752,Stotesbury
Lawrence,65756,Stotts City
Laclede,65567,Stoutland
Monroe,65283,Stoutsville
Morgan,65078,Stover
Greene,65757,Strafford
Franklin,63080,Strain
Cass,64090,Strasburg
Jasper,64834,Stringtown
Monroe,65275,Strother
Bollinger,63782,Sturdivant
Boone,65284,Sturgeon
Adair,63546,Sublette
Texas,65570,Success
Jackson,64054,Sugar Creek
Franklin,63080,Sullivan
Jefferson,63052,Sulphur Springs
Maries,65013,Summerfield
Texas,65571,Summersville
Chariton,64681,Sumner
Camden,65079,Sunrise Beach
Saint Louis,63127,Sunset Hills
Pulaski,65572,Swedeborg
Saline,65351,Sweet Springs
Gasconade,65041,Swiss
Ozark,65760,Sycamore
Morgan,65354,Syracuse
Bates,64780,Taberville
New Madrid,63878,Tallapoosa
Taney,65759,Taneyville
Buchanan,64448,Taos
Cole,65101,Taos
Atchison,64491,Tarkio
Pike,63334,Tarrants
Marion,63471,Taylor
Callaway,65080,Tebbetts
Ozark,65760,Tecumseh
Shannon,65438,Teresita
Oregon,65791,Thayer
Ozark,65761,Theodosia
Randolph,65244,Thomas Hill
Shannon,65438,Thomasville
Audrain,65285,Thompson
Ozark,65762,Thornfield
Washington,63674,Tiff
McDonald,64868,Tiff City
Henry,64735,Tightwad
Dent,65560,Timber
Saint Louis,63025,Times Beach
Carroll,64682,Tina
Moniteau,65081,Tipton
Lewis,63452,Tolona
Saint Louis,63011,Town and Country
Saint Louis,63017,Town and Country
Saint Louis,63131,Town and Country
Platte,64079,Tracy
Warren,63378,Treloar
Grundy,64683,Trenton
Clinton,64492,Trimble
Chariton,65286,Triplett
Lincoln,63379,Troy
Warren,63383,Truesdail
Warren,63383,Truesdale
Lincoln,63381,Truxton
Dallas,65764,Tunas
Greene,65765,Turners
Clinton,64493,Turney
Miller,65082,Tuscumbia
Saint Louis,63021,Twin Oaks
Saint Louis,63088,Twin Oaks
Texas,65464,Tyrone
Texas,65483,Tyrone
Ozark,65766,Udall
Miller,65083,Ulman
Franklin,63084,Union
Christian,65610,Union City
Dekalb,64494,Union Star
Perry,63783,Uniontown
Putnam,63565,Unionville
Jackson,64063,Unity Village
Jackson,64064,Unity Village
Jackson,64065,Unity Village
Saint Louis,63105,University City
Saint Louis,63124,University City
Saint Louis,63130,University City
Dallas,65767,Urbana
Randolph,65270,Urbandale
Henry,64788,Urich
Livingston,64686,Utica
Jefferson,63020,Valles Mines
Saint Francois,63087,Valles Mines
Johnson,65336,Valley City
Saint Louis,63088,Valley Park
Carter,63965,Van Buren
Osage,65058,Vancleve
Audrain,63382,Vandalia
Audrain,65265,Vandiver Village
Scott,63784,Vanduser
Douglas,65768,Vanzant
Saint Louis,63121,Velda Village Hills
Pike,63334,Vera
Lawrence,65769,Verona
Morgan,65084,Versailles
Iron,65566,Viburnum
Maries,65580,Vichy
Maries,65582,Vienna
Saint Louis,63042,Vigus
Franklin,63089,Villa Ridge
Camden,65049,Village of Four Seasons
Clay,64118,Village of Oakview
Lawrence,65756,Vineyard
Saint Louis,63114,Vinita Park
Barry,65747,Viola
Saint Clair,64789,Vista
Iron,63675,Vulcan
Jasper,64869,Waco
Callaway,65043,Wainwright
Carroll,64687,Wakenda
Platte,64092,Waldron
Vernon,64790,Walker
Greene,65770,Walnut Grove
Taney,65771,Walnut Shade
Wayne,63966,Wappapello
Pemiscot,63879,Wardell
Cole,65101,Wardsville
Johnson,64093,Warrensburg
Warren,63383,Warrenton
Benton,65355,Warsaw
Saint Louis,63122,Warson Woods
Barry,65772,Washburn
Franklin,63090,Washington
Ozark,65773,Wasola
Atchison,64496,Watson
Lafayette,64096,Waverly
Clark,63472,Wayland
Pulaski,65583,Waynesville
Dekalb,64497,Weatherby
Platte,64152,Weatherby Lake
Platte,64153,Weatherby Lake
Hickory,65774,Weaubleau
Jasper,64870,Webb City
Saint Louis,63119,Webster Groves
Macon,63558,Wein
Sainte Genevieve,63670,Weingarten
Saint Charles,63304,Weldon Spring
Saint Charles,63304,Weldon Spring Heights
Lafayette,64097,Wellington
Saint Louis City,63112,Wellston
Saint Louis,63133,Wellston
Montgomery,63384,Wellsville
Lawrence,64873,Wentworth
Saint Charles,63385,Wentzville
Crawford,65586,Wesco
Saint Charles,63386,West Alton
Saint Louis,63146,West County
Marion,63401,West Ely
Shannon,65466,West Eminence
Cass,64734,West Line
Howell,65775,West Plains
Howell,65776,West Plains
Marion,63471,West Quincy
Atchison,64498,Westboro
Platte,64098,Weston
Osage,65085,Westphalia
Hickory,65779,Wheatland
Barry,64874,Wheaton
Livingston,64688,Wheeling
Benton,65355,Whitakerville
Johnson,65305,Whiteman Air Force Base
Dunklin,63880,Whiteoak
Lincoln,63387,Whiteside
Cape Girardeau,63785,Whitewater
Saint Louis,63005,Wildwood
Saint Louis,63011,Wildwood
Saint Louis,63021,Wildwood
Saint Louis,63025,Wildwood
Saint Louis,63038,Wildwood
Saint Louis,63040,Wildwood
Franklin,63069,Wildwood
Greene,65781,Willard
Callaway,63388,Williamsburg
Lewis,63473,Williamstown
Wayne,63967,Williamsville
Adair,63546,Willmathsville
Howell,65793,Willow Springs
Boone,65039,Wilton
Saint Louis,63011,Winchester
Saint Louis,63021,Winchester
Henry,65360,Windsor
Dallas,65783,Windyville
Lincoln,63389,Winfield
Sullivan,63566,Winigan
Shannon,65588,Winona
Daviess,64689,Winston
Buchanan,64484,Winthrop
Benton,65355,Wisdom
Marion,63401,Withers Mill
Marion,63461,Withers Mill
Perry,63748,Wittenberg
Mississippi,63881,Wolf Island
Madison,63645,Womack
Clay,64024,Wood Heights
Marion,63461,Woodland
Boone,65256,Woodlandville
Monroe,65263,Woodlawn
Boone,65279,Woodlinville
Saint Louis,63134,Woodson Terrace
Macon,65247,Woodville
Cooper,65287,Wooldridge
Worth,64499,Worth
Putnam,63567,Worthington
Warren,63390,Wright City
Clark,63474,Wyaconda
Mississippi,63882,Wyatt
Adair,63501,Yarrow
Randolph,65257,Yates
Adair,63559,Youngstown
Perry,63775,Yount
Texas,65589,Yukon
Bollinger,63787,Zalma
Ozark,65784,Zanoni
Sainte Genevieve,63670,Zell
